CITY,SIZE
1,12325232
2,6747815
3,3055149
4,2886698
5,2686612
6,2521564
7,2219580
8,1948626
9,1653461
10,1536097
11,1499641
12,1488252
13,1392121
14,1213792
15,1108975
16,1091737
17,1025360
18,924624
19,906092
20,890480
21,868075
22,844483
23,823302
24,817511
25,729737
26,721368
27,711825
28,706867
29,699944
30,699097
31,687357
32,668949
33,664908
34,619609
35,618124
36,597658
37,590146
38,575377
39,573285
40,539354
41,535547
42,527240
43,517451
44,515317
45,513118
46,512902
47,511168
48,508826
49,501325
50,477552
51,472906
52,464983
53,450785
54,444784
55,433656
56,430157
57,426757
58,423006
59,419652
60,413487
61,413418
62,411807
63,407252
64,403183
65,393115
66,391772
67,383917
68,379297
69,375011
70,368355
71,365855
72,365278
73,365212
74,361855
75,355901
76,355336
77,354317
78,348208
79,343132
80,341128
81,338197
82,337092
83,334376
84,332333
85,330845
86,329058
87,322750
88,317915
89,308482
90,306678
91,306480
92,306296
93,304302
94,300618
95,300559
96,293652
97,287526
98,286211
99,283677
100,283620
101,283542
102,281046
103,276982
104,276535
105,276264
106,273988
107,267036
108,265409
109,261501
110,259337
111,258248
112,256302
113,256223
114,254484
115,253608
116,250181
117,247032
118,246540
119,246433
120,242543
121,242018
122,241835
123,241518
124,240961
125,240590
126,240408
127,238648
128,238339
129,236042
130,235416
131,234259
132,233047
133,230378
134,230371
135,229458
136,225495
137,224013
138,223112
139,220444
140,218162
141,217698
142,217311
143,213685
144,213576
145,211965
146,211508
147,211352
148,210711
149,210589
150,208944
151,208008
152,207044
153,204722
154,203251
155,201635
156,198129
157,196500
158,194390
159,191158
160,185706
161,184833
162,184240
163,183381
164,182644
165,182153
166,181173
167,179028
168,177662
169,177633
170,176688
171,176569
172,175568
173,175272
174,172135
175,170533
176,170222
177,170132
178,168641
179,165526
180,165525
181,164504
182,162693
183,162438
184,161957
185,159923
186,159080
187,158899
188,157349
189,156975
190,156492
191,156174
192,156126
193,155193
194,153585
195,153482
196,153033
197,152549
198,152327
199,151881
200,151335
201,150658
202,148130
203,146214
204,146005
205,145796
206,144088
207,142645
208,142301
209,141808
210,140937
211,140577
212,139583
213,139364
214,138204
215,137689
216,137349
217,137125
218,136602
219,136234
220,135783
221,135506
222,134819
223,134293
224,133865
225,133685
226,133490
227,133031
228,132642
229,132312
230,132138
231,131626
232,131365
233,131240
234,131210
235,130539
236,130346
237,130009
238,129823
239,129765
240,129606
241,128914
242,127142
243,127027
244,126866
245,126701
246,126356
247,124883
248,124810
249,124159
250,123747
251,123684
252,123599
253,123400
254,123389
255,123281
256,123116
257,123096
258,123071
259,122967
260,122833
261,122581
262,122505
263,122497
264,121803
265,121335
266,120904
267,120041
268,119736
269,118516
270,118451
271,118370
272,118349
273,117825
274,117703
275,116797
276,115969
277,115363
278,115337
279,115144
280,114970
281,114503
282,114396
283,114352
284,114079
285,113121
286,112500
287,112058
288,112003
289,110983
290,110290
291,109897
292,109523
293,109392
294,108969
295,108192
296,107341
297,107337
298,106633
299,106422
300,106049
301,105809
302,105711
303,105548
304,105520
305,105255
306,105221
307,105087
308,104790
309,104783
310,104346
311,103800
312,103672
313,103497
314,103102
315,103101
316,103074
317,102775
318,102701
319,102380
320,102211
321,102065
322,102004
323,101937
324,101395
325,100764
326,100346
327,98502
328,98239
329,97803
330,97669
331,97334
332,97233
333,97203
334,96157
335,96142
336,95929
337,95488
338,95338
339,95018
340,94861
341,94808
342,94804
343,93937
344,93862
345,93847
346,93650
347,93196
348,92769
349,92603
350,92216
351,92060
352,91824
353,91771
354,91449
355,91232
356,91169
357,91157
358,91093
359,90640
360,90583
361,90568
362,90497
363,90328
364,90162
365,89489
366,89125
367,89072
368,88922
369,88492
370,88321
371,87545
372,87458
373,86915
374,85910
375,85893
376,85563
377,85541
378,85421
379,85105
380,85033
381,84930
382,84928
383,84864
384,84699
385,84554
386,84395
387,83843
388,83816
389,83777
390,83764
391,83626
392,83626
393,83279
394,83182
395,83092
396,82571
397,82432
398,82142
399,81869
400,81821
401,81778
402,81286
403,80935
404,80635
405,80616
406,80494
407,80416
408,80195
409,80111
410,80055
411,80037
412,80032
413,79792
414,79500
415,79479
416,79424
417,79388
418,79313
419,78882
420,78503
421,78431
422,77934
423,77652
424,77568
425,77555
426,77244
427,77214
428,76877
429,76869
430,76795
431,76687
432,76537
433,76321
434,75829
435,75540
436,75394
437,75234
438,75167
439,75159
440,74975
441,74822
442,74558
443,74419
444,74016
445,73886
446,73575
447,73524
448,73474
449,73337
450,73188
451,73061
452,73028
453,72983
454,72890
455,72887
456,72677
457,72545
458,72232
459,72018
460,72006
461,71973
462,71837
463,71809
464,71551
465,71487
466,71445
467,71075
468,70900
469,70793
470,70065
471,69969
472,69901
473,69723
474,69662
475,69556
476,69486
477,69458
478,69431
479,69402
480,69292
481,69001
482,68990
483,68980
484,68867
485,68767
486,68723
487,68529
488,68343
489,68162
490,68154
